Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Description,Manufacturer,Note,Part Number
16,6,"C41, C42, C52, C90, C156, C160",100pF,Device:C,hackrf:GSG-0402,~,CAP CER 100PF 50V 5% C0G/NP0 0402,Samsung,,CL05C101JB5NNNC
17,12,"C8, C21, C32, C43, C48, C51, C84, C85, C86, C93, C94, C172",22pF,Device:C,hackrf:GSG-0402,~,CAP CER 22PF 50V 5% C0G/NP0 0402,Samsung,,CL05C220JB5NNNC
18,3,"D1, D3, D9",GSG-DIODE-TVS-BI,hackrf:GSG-DIODE-TVS-BI,hackrf:GSG-0402,,TVS DIODE ESD .05PF 15KV 0402,Murata,,LXES15AAA1-100
19,1,D10,D_Schottky,Device:D_Schottky,gsg-modules:DSN1006-2,~,DIODE SCHOTTKY 40V 1A DSN1006-2,Nexperia,,PMEG4010ESBYL
20,2,"D2, D6",TXLED,Device:LED,gsg-modules:LTST-S220,~,LED SUPR RED CLR RT ANG 0805,Lite-On,,LTST-S220KRKT
21,2,"D4, D7",VCCLED,Device:LED,gsg-modules:LTST-S220,~,LED GREEN CLEAR RT ANG 0805,Lite-On,,LTST-S220KGKT
22,2,"D5, D8",1V8LED,Device:LED,gsg-modules:LTST-S220,~,LED YELLOW CLEAR RT ANG 0805,Lite-On,,LTST-S220KSKT
23,3,"FB1, FB2, FB3",FILTER,Device:FerriteBead_Small,hackrf:GSG-0805,~,FERRITE CHIP 220 OHM 2000MA 0805,Murata,,BLM21PG221SN1D
24,1,J1,USB-MICRO-B,hackrf:GSG-USB-MICRO-B-SHIELDED,hackrf:GSG-USB-MICROB-FCI-10103592-EXT,,CONN RCPT REV MICRO USB TYPE B,FCI,,10103592-0001LF
25,2,"L10, L11",4u7,Device:L,hackrf:GSG-NRG4026,~,FIXED IND 4.7UH 1.7A 84 MOHM 20% SMD,Taiyo Yuden,,NRS4018T4R7MDGJ
26,5,"L2, L3, L5, L12, L13",10uH,Device:L,hackrf:GSG-0603,~,INDUCTR 10UH 220MA 20% 0603 SMD,Taiyo Yuden,,BRL1608T100M
27,2,"L6, L8",5.6nH,Device:L,hackrf:GSG-0402,~,FIXED IND 5.6NH 650MA 200MOHM ±0.3nH SMD,Murata,,LQG15HS5N6S02D
28,3,"P2, P4, P16",ANTENNA,hackrf:GSG-RF-CONN,hackrf:GSG-SMA-73251-2120,,CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER,Molex,,73251-2121
29,2,"P20, P28",SD,Connector_Generic:Conn_02x11_Odd_Even,hackrf:GSG-HEADER-2x11,~,"CONN HEADER FMAL 22PS.1"" DL GOLD",Sullins,,PPPC112LFBN-RC
30,1,P22,I2S,Connector_Generic:Conn_02x13_Odd_Even,hackrf:GSG-HEADER-2x13,~,"CONN HEADER FMAL 26PS.1"" DL GOLD",Sullins,,PPPC132LFBN-RC
31,1,P9,BASEBAND,Connector_Generic:Conn_02x08_Odd_Even,hackrf:GSG-HEADER-2x8,~,"CONN HEADER FMAL 16PS.1"" DL GOLD",Sullins,,PPPC082LFBN-RC
32,5,"Q1, Q2, Q3, Q4, Q5",MOSFET_P,Device:Q_PMOS_GSD,gsg-modules:SOT23-3,~,P-CH MOSFET 20V 3.4A SOT-23-3L,Yangzhou Yangjie,,YJL2301C
33,4,"R1, R2, R72, R75",470,Device:R,hackrf:GSG-0402,~,RES TF 1/16W 470 OHM 5% 0402,Stackpole,,RMCF0402JT470R
34,6,"R8, R9, R10, R13, R73, R76",1k,Device:R,hackrf:GSG-0402,~,RES 1K OHM 1/16W 1% 0402,Stackpole,,RMCF0402FT1K00
35,27,"R19, R30, R32, R33, R34, R38, R39, R44, R50, R53, R70, R77, R78, R79, R80, R81, R86, R87, R88, R89, R90, R91, R94, R96, R98, R99, R100",39,Device:R,hackrf:GSG-0402,~,RES 39 OHM 1/16W 5% 0402 SMD,Stackpole,,RMCF0402JT39R0
36,26,"R5, R6, R7, R11, R12, R24, R29, R36, R37, R41, R48, R49, R51, R52, R54, R59, R61, R62, R63, R64, R66, R67, R68, R85, R93, R105",10k,Device:R,hackrf:GSG-0402,~,RES 10K OHM 1/16W 5% 0402 SMD,Stackpole,,RMCF0402JT10K0
37,10,"R20, R21, R22, R23, R45, R57, R58, R83, R92, R106",0,Device:R,hackrf:GSG-0402,~,RES 0.0 OHM 1/16W 0402 SMD,Stackpole,,RMCF0402ZT0R00
38,4,"R14, R15, R16, R17",4k7,Device:R,hackrf:GSG-0402,~,RES 4.7K OHM 1/16W 1% 0402,Stackpole,,RMCF0402FT4K70
39,4,"R18, R27, R28, R74",1k8,Device:R,hackrf:GSG-0402,~,RES TF 1.8K OHM 5% 1/16W 0402,Stackpole,,RMCF0402JT1K80
40,2,"R25, R26",750,Device:R,hackrf:GSG-0402,~,RES 750 OHM 1% 1/16W 0402,Yageo,,RC0402FR-07750RL
41,1,R3,22k,Device:R,hackrf:GSG-0402,~,RES 22K OHM 1/10W 5% 0402 SMD,Panasonic,,ERJ-2GEJ223X
42,2,"R31, R60",100,Device:R,hackrf:GSG-0402,~,RES 100 OHM 5% 1/16W 0402,Yageo,,RC0402JR-07100RL
43,1,R4,51k,Device:R,hackrf:GSG-0402,~,RES TF 51K OHM 1% 0.0625W 0402,Stackpole,,RMCF0402FT51K0
44,2,"R42, R43",18,Device:R,hackrf:GSG-0402,~,RES 18 OHM 5% 1/16W 0402,Yageo,,RC0402JR-0718RL
45,2,"R46, R55",162k,Device:R,hackrf:GSG-0402,~,RES TF 1/16W 162K OHM 1% 0402,Stackpole,,RMCF0402FT162K
46,1,R47,330k,Device:R,hackrf:GSG-0402,~,RES TF 1/16W 330K OHM 1% 0402,Stackpole,,RMCF0402FT330K
47,1,R56,715k,Device:R,hackrf:GSG-0402,~,RES TF 1/16W 715K OHM 1% 0402,Stackpole,,RMCF0402FT715K
48,1,R65,18k,Device:R,hackrf:GSG-0402,~,RES SMD 18K OHM 5% 1/16W 0402,Yageo,,RC0402JR-0718KL
49,1,R69,12k,Device:R,hackrf:GSG-0402,~,RES 12K OHM 1% 1/16W 0402,Yageo,,RC0402FR-0712KL
50,2,"SW1, SW2",RESET,hackrf:SW_PUSH_SHIELDED,hackrf:GSG-SWITCH-FSMRA,,SWITCH TACTILE SPST-NO 0.05A 12V,TE Connectivity,,FSMRA3JH
51,2,"T1, T2",MIX_OUT_BALUN,hackrf:BALUN-B0310J50100AHF,hackrf:GSG-B0310J50100AHF,,Ultra Low Profile 0805 Balun 50 to 100 ohm Balanced,Anaren,,B0310J50100AHF
52,2,"T3, T4",TX_BALUN,gsg-symbols:BALUN,hackrf:GSG-2500BL14M100,,BALUN CERAMIC CHIP WIMAX 2.5GHZ,Johanson Technology,Alternative part: Murata LDB182G4510G-120,2500BL14M100T
53,7,"U1, U2, U5, U6, U7, U10, U11",SKY13453,gsg-symbols:SKY13453,gsg-modules:SKY13350-385LF,,IC RF SWITCH 6GHZ 6QFN,Skyworks,,SKY13453-385LF
54,3,"U9, U12, U14",SKY13317,hackrf:SKY13317,hackrf:GSG-SKY13317-373LF,,20 MHz-6.0 GHz pHEMT GaAs SP3T Switch,Skyworks,,SKY13317-373LF
55,2,"U13, U25",MGA-81563,hackrf:MGA-81563,hackrf:GSG-SOT363,,"0.1-6 GHz 3 V, 14 dBm Amplifier",Avago,,MGA-81563-TR1G
56,1,U15,TVS,hackrf:LXES1TBCC2-004,hackrf:GSG-LXES1TBCC2-004,,TVS DIODE 5.5V 22V LLP75-6L,Vishay,,VBUS54CV-HSF-G4-08
57,1,U16,74LVC1G3157,gsg-symbols:74LVC1G3157,gsg-modules:XSON6,,IC SWITCH SPDT 6 OHM X2DFN1410-6,Diodes Inc.,,74LVC1G3157FZ4-7
58,1,U17,MAX2839,hackrf:MAX2839,gsg-modules:QFN-56-1EP_8x8mm_P0.5mm_EP6.5x6.5mm_ThermalVias,,IC RF TXRX CELLULAR 56WFQFN,Maxim,,MAX2839ETN+
59,1,U18,MAX5864,hackrf:MAX5864,hackrf:GSG-QFN48-7,,IC ANLG FRONT END 22MSPS 48-TQFN,Maxim,,MAX5864ETM+
60,1,U19,Si5351A-B-GT,Oscillator:Si5351A-B-GT,Package_SO:MSOP-10_3x3mm_P0.5mm,https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf,IC CLK GENERATOR 200MHZ 10MSOP,Skyworks,,SI5351A-B-GT
61,1,U20,W25Q80,hackrf:W25Q80BV,hackrf:GSG-SOIC8-208,,IC FLASH 8MBIT 8SOIC,Winbond,,W25Q80DVSSIG
62,1,U21,TPS62410,hackrf:TPS62410,hackrf:GSG-S-PVSON-N10,,IC BUCK SYNC DUAL ADJ 0.8A 10SON,Texas Instruments,,TPS62410DRCR
63,1,U22,74LVC1G80,74xGxx:74AUP1G80,Package_TO_SOT_SMD:SOT-353_SC-70-5,https://www.ti.com/lit/gpn/sn74lvc1g80,IC FF D-TYPE SNGL 1BIT SC70-5,Texas Instruments,,SN74LVC1G80DCKR
64,1,U23,LPC4320FBD144,hackrf:LPC43XXFBD144,hackrf:GSG-LQFP144,,IC MCU 32BIT 144LQFP,NXP,,"LPC4320FBD144,551"
65,1,U24,GSG-XC2C64A-7VQG100C,hackrf:GSG-XC2C64A-7VQG100C,hackrf:GSG-VQ100,,IC CR-II CPLD 64MCELL 100-VQFP,Xilinx,,XC2C64A-7VQG100C
66,3,"U26, U27, U28",74AUP2G58GU,74AUP2G58GU:74AUP2G58GU,gsg-modules:XQFN10,https://assets.nexperia.com/documents/data-sheet/74AUP2G58.pdf,IC SCHMITT TRIGGER DUAL XQFN10,Nexperia,,74AUP2G58GUX
67,1,U3,LOWPASS_FILTER,hackrf:FIL-LP0603,hackrf:GSG-LP0603,,FILTER LOW PASS 1880MHZ 0603 SMD,AVX,,LP0603A1880ANTR
68,1,U4,RFFC5072,hackrf:RFFC5072,hackrf:GSG-QFN32,,WIDEBAND SYNTHESIZER/VCO WITH INTEGRATED 6GHz MIXER,RFMD,,RFFC5072TR7
69,1,U8,HIGHPASS_FILTER,hackrf:FIL-DEA,hackrf:GSG-HP-DEA,,FILTER HIGHPASS WLAN&BLUETOOTH,TDK,,DEA162400HT-8004B1
70,1,X1,MAIN_XTAL,hackrf:GSG-XTAL4PIN,hackrf:GSG-XTAL3.2x2.5mm,,CRYSTAL 25.0000MHZ 12PF SMD,Raltron,,RH100-25.000-12-F-1010-TR
71,1,X2,MCU_XTAL,hackrf:GSG-XTAL4PIN,hackrf:GSG-XTAL3.2x2.5mm,,CRYSTAL 12.000 MHZ 12PF SMD,TXC,,7V-12.000MAAE-T
72,1,X3,RTC_XTAL,Device:Crystal,hackrf:GSG-XTAL-AB26TRQ,~,CRYSTAL 32.768KHZ 12.5PF SMD,Abracon,,AB26TRQ-32.768KHZ-T
